,temp_error,psal_error,minT,maxT,minS,maxS,min_Nprof,pmax,pmax_fluo,is_lon_centre_180,deployment_code,is_lon_center_180
ct27x,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct28,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct29,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct3,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct30,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct31,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct32,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct32x,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct33,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct34,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct35,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct35b,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct35x,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct36,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct37,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct38e,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct38w,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct39,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct4,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct40,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct41,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct43,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct42,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct44,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct45,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct46,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct47,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct48,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct49,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct50,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct51,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct52,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct53,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct54,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct55,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct56,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct57,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct59,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct58,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct6,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct61,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct62,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct63,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct64,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct65,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct67,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct68,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct69,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct7,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct70,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct71,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct73,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct74,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct75,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct76,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct77,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct78,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct79,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct78d,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct8,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct80,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct81,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct82,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct83,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct84,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct85,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct86,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct87,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct89,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct9,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct90,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct91,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct92,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct93,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct94,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct95,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct97,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct98,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct99,0.1,0.2,-3,32,4,40,30,1000,200,0,,
eb03,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft01,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft02,0.1,0.2,-3,32,4,40,30,1000,200,0,,
eb04,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft03,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft04,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft05,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft06,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft07,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft08,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft09,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft10,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft11,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft12,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft13,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft17,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft19,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft20,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft21,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft22,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft23,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft24,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft25,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft26,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft27,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft28,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft29,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft31,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft32,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft33,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft34,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ft35,0.1,0.2,-3,32,4,40,30,1000,200,0,,
hd09,0.1,0.2,-3,32,4,40,30,1000,200,0,,
hg37,0.1,0.2,-3,32,4,40,30,1000,200,0,,
hg37g,0.1,0.2,-3,32,4,40,30,1000,200,0,,
hg42,0.1,0.2,-3,32,4,40,30,1000,200,0,,
hg63,0.1,0.2,-3,32,4,40,30,1000,200,0,,
hg47,0.1,0.2,-3,32,4,40,30,1000,200,0,,
rs14,0.1,0.2,-3,32,4,40,30,1000,200,0,,
rs15,0.1,0.2,-3,32,4,40,30,1000,200,0,,
rs17,0.1,0.2,-3,32,4,40,30,1000,200,0,,
rs19,0.1,0.2,-3,32,4,40,30,1000,200,0,,
rs22,0.1,0.2,-3,32,4,40,30,1000,200,0,,
rs23,0.1,0.2,-3,32,4,40,30,1000,200,0,,
rs27,0.1,0.2,-3,32,4,40,30,1000,200,0,,
rs29,0.1,0.2,-3,32,4,40,30,1000,200,0,,
rs31,0.1,0.2,-3,32,4,40,30,1000,200,0,,
rs34,0.1,0.2,-3,32,4,40,30,1000,200,0,,
rs36,0.1,0.2,-3,32,4,40,30,1000,200,0,,
rs37,0.1,0.2,-3,32,4,40,30,1000,200,0,,
tu114,0.1,0.2,-3,32,4,40,30,1000,200,0,,
tu115,0.1,0.2,-3,32,4,40,30,1000,200,0,,
tu117,0.1,0.2,-3,32,4,40,30,1000,200,0,,
tu120,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd06,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd07,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd09,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd10,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd1,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd11,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd12,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd13,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd14,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd15,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd16,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd17,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd18,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd19,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd20,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd21,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd25,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd27,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd29,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd3,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd30,0.1,0.2,-3,32,4,40,30,1000,200,0,,
wd31,0.1,0.2,-3,32,4,40,30,1000,200,0,,
MY01,0.1,0.2,-3,32,4,40,30,1000,200,0,,
DL02,0.1,0.2,-3,32,4,40,30,1000,200,0,,
ct124,0.1,0.2,-3,32,4,40,30,1000,200,0,,
kp01,0.1,0.2,-3,32,4,40,30,1000,200,0,,
rs32,0.1,0.2,-3,32,4,40,30,1000,200,0,,
